FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,ViewFrame
191,-518.0410,503.0000,-381.5028,0.2638,40.8163,0.0000,0
192,-503.8044,503.0000,-393.4260,0.2638,39.0816,0.0000,0
193,-489.7611,503.0000,-404.5273,0.2638,37.5510,0.0000,0
194,-475.5127,503.0000,-415.3013,0.2638,36.7347,0.0000,0
195,-461.0380,503.0000,-425.8606,0.2638,35.8163,0.0000,0
196,-446.3071,503.0000,-436.2238,0.4396,34.2857,0.0000,0
197,-431.3279,503.0000,-446.2314,0.4396,33.0612,0.0000,0
198,-416.5709,503.0000,-455.5966,0.4396,31.9388,0.0000,0
199,-401.0881,503.0000,-465.0779,0.4396,31.0204,0.0000,0
200,-386.0042,503.0000,-473.9849,0.4396,30.2041,0.0000,0
201,-370.7520,503.0000,-482.6441,0.4396,29.0816,0.0000,0
202,-355.2913,503.0000,-490.9888,0.4396,27.6531,0.0000,0
203,-339.1427,503.0000,-499.1314,0.4396,25.8163,0.0000,0
204,-323.1196,503.0000,-506.5674,0.4396,23.8776,0.0000,0
205,-306.5692,503.0000,-513.5477,0.4396,22.0408,0.0000,0
206,-289.8554,503.0000,-519.9529,0.4396,19.6939,0.0000,0
207,-273.2762,503.0000,-525.5682,0.4396,17.8572,0.0000,0
208,-256.1455,503.0000,-530.9752,0.4396,17.3469,0.0000,0
209,-239.3707,503.0000,-536.1849,0.4396,17.2449,0.0000,0
210,-222.5337,503.0000,-541.4113,0.4396,17.2449,0.0000,0
211,-202.5460,503.0000,-547.6155,0.4396,17.2449,0.0000,0
212,-185.6403,503.0000,-552.8634,0.4396,17.2449,0.0000,0
213,-168.9808,503.0000,-558.0347,0.4396,17.2449,0.0000,0
214,-152.2373,503.0000,-563.2320,0.4396,17.2449,0.0000,0
215,-135.3339,503.0000,-568.4791,0.4396,17.2449,0.0000,0
216,-118.4472,503.0000,-573.7210,0.4396,17.2449,0.0000,0
217,-101.8205,503.0000,-578.8823,0.4396,17.2449,0.0000,0
218,-84.9276,503.0000,-584.1260,0.4396,17.2449,0.0000,0
219,-68.1103,503.0000,-589.3463,0.4396,17.2449,0.0000,0
220,-50.4883,503.0000,-594.8163,0.4396,17.2449,0.0000,0
221,-33.6652,503.0000,-600.0383,0.4396,17.2449,0.0000,0
222,-16.5211,503.0000,-605.3600,0.4396,17.2449,0.0000,0
223,0.4506,503.0000,-610.6282,0.4396,17.2449,0.0000,0
224,17.3317,503.0000,-615.8683,0.4396,17.2449,0.0000,0
225,34.4920,503.0000,-621.1950,0.4396,17.2449,0.0000,0
226,51.5753,503.0000,-626.4979,0.4396,17.2449,0.0000,0
227,68.2154,503.0000,-631.6611,0.6155,17.1429,0.0000,0
228,85.1893,503.0000,-636.5548,0.7034,14.4898,0.0000,0
229,102.1001,503.0000,-640.3762,0.8792,10.9184,0.0000,0
230,119.6683,503.0000,-643.2345,0.8792,8.2653,0.0000,0
231,136.9533,503.0000,-645.3868,0.8792,6.2245,0.0000,0
232,154.4502,503.0000,-647.0442,0.8792,4.6939,0.0000,0
233,172.1624,503.0000,-648.3693,0.8792,3.6735,0.0000,0
234,189.9980,503.0000,-649.3596,0.8792,2.6531,0.0000,0
235,207.8471,503.0000,-649.9263,0.8792,0.9184,0.0000,0
236,225.2370,503.0000,-650.0161,0.8792,359.5918,0.0000,0
237,242.6754,503.0000,-649.7429,0.8792,358.6735,0.0000,0
238,260.0890,503.0000,-649.2026,0.8792,357.9592,0.0000,0
